School Year,Enrolled Grade,Lesson Type,Word Count,,,,,,,,,,,,,,
2019-2020,3,Benchmark - Baseline Writing,31.0877193,,,,,,,,,,,,,,
2019-2020,3,Benchmark - Mid-Year,99.33333333,,Sum of Word Count,Column Labels,,,,,,,,,,,
2019-2020,4,Benchmark - Baseline Writing,51.66075949,,,2019-2020,,,2019-2020 Total,2020-2021,,,2020-2021 Total,2021-2022,,2021-2022 Total,Grand Total
2019-2020,4,Benchmark - Mid-Year,113.0094044,,Row Labels,Benchmark - Baseline Writing,Benchmark - End-of-Year,Benchmark - Mid-Year,,Benchmark - Baseline Writing,Benchmark - End-of-Year,Benchmark - Mid-Year,,Benchmark - Baseline Writing,Benchmark - Mid-Year,,
2019-2020,5,Benchmark - Baseline Writing,75.01277372,,3,31,,99,130,26,41,68,135,25,72,96.25757576,361.3786284
2019-2020,5,Benchmark - End-of-Year,151.5882353,,4,52,,113,165,32,82,45,158,48,72,119.4239064,442.5833491
2019-2020,5,Benchmark - Mid-Year,108.207483,,5,75,152,108,335,40,99,72,210,71,115,186.2436107,731.5494417
2019-2020,6,Benchmark - Baseline Writing,101.6674473,,6,102,,217,319,53,157,110,320,131,253,383.8266933,1022.01575
2019-2020,6,Benchmark - Mid-Year,216.9721627,,7,125,,232,356,85,205,146,436,158,270,428.6262077,1221.387732
2019-2020,7,Benchmark - Baseline Writing,124.8333333,,8,106,,213,319,127,220,181,528,183,229,412.6860443,1259.13214
2019-2020,7,Benchmark - Mid-Year,231.5858824,,11,,,409,409,,,,,,,,409
2019-2020,8,Benchmark - Baseline Writing,106.0641026,,Grand Total,490.3261357,151.5882353,1390.700499,2032.61487,362.6353631,803.3259268,621.406843,1787.368133,616.7712098,1010.292828,1627.064038,5447.047041
2019-2020,8,Benchmark - Mid-Year,212.592233,,,,,,,,,,,,,,
2019-2020,11,Benchmark - Mid-Year,409,,,,,,,,,,,,,,
2020-2021,3,Benchmark - Baseline Writing,26.2,,,119%,,44%,,49%,,,,,,,
2020-2021,3,Benchmark - End-of-Year,41,,,44%,,77%,,61%,,,,,,,
2020-2021,3,Benchmark - Mid-Year,67.5,,,113%,,109%,,92%,,,,,,,
2020-2021,4,Benchmark - Baseline Writing,31.5,,,86%,,72%,,71%,,,,,,,
2020-2021,4,Benchmark - End-of-Year,81.52631579,,,100%,,42%,,25%,,,,,,,
2020-2021,4,Benchmark - Mid-Year,45.46296296,,,,,,,,,,,,,,
2020-2021,5,Benchmark - Baseline Writing,40.36434109,,,,,,,,,,,,,,
2020-2021,5,Benchmark - End-of-Year,98.54347826,,,,,,,,,,,,,,
2020-2021,5,Benchmark - Mid-Year,71.58951965,,,,,,,,,,,,,,
2020-2021,6,Benchmark - Baseline Writing,52.54958678,,,,,,,,,,,,,,
2020-2021,6,Benchmark - End-of-Year,156.9214286,,,,,,,,,,,,,,
2020-2021,6,Benchmark - Mid-Year,110.0784314,,,,,,,,,,,,,,
2020-2021,7,Benchmark - Baseline Writing,84.79784367,,,,,,,,,,,,,,
2020-2021,7,Benchmark - End-of-Year,205.284,,,,,,,,,,,,,,
2020-2021,7,Benchmark - Mid-Year,146.2604651,,,,,,,,,,,,,,
2020-2021,8,Benchmark - Baseline Writing,127.2235915,,,,,,,,,,,,,,
2020-2021,8,Benchmark - End-of-Year,220.0507042,,,,,,,,,,,,,,
2020-2021,8,Benchmark - Mid-Year,180.5154639,,,,,,,,,,,,,,
2021-2022,3,Benchmark - Baseline Writing,24.5,,,,,,,,,,,,,,
2021-2022,3,Benchmark - Mid-Year,71.75757576,,,,,,,,,,,,,,
2021-2022,4,Benchmark - Baseline Writing,47.89883268,,,,,,,,,,,,,,
2021-2022,4,Benchmark - Mid-Year,71.52507375,,,,,,,,,,,,,,
2021-2022,5,Benchmark - Baseline Writing,71.47145877,,,,,,,,,,,,,,
2021-2022,5,Benchmark - Mid-Year,114.7721519,,,,,,,,,,,,,,
2021-2022,6,Benchmark - Baseline Writing,131.3179724,,,,,,,,,,,,,,
2021-2022,6,Benchmark - Mid-Year,252.5087209,,,,,,,,,,,,,,
2021-2022,7,Benchmark - Baseline Writing,158.2025316,,,,,,,,,,,,,,
2021-2022,7,Benchmark - Mid-Year,270.423676,,,,,,,,,,,,,,
2021-2022,8,Benchmark - Baseline Writing,183.3804143,,,,,,,,,,,,,,
2021-2022,8,Benchmark - Mid-Year,229.30563,,,,,,,,,,,,,,
